dataset,grad_alpha,hess_beta,worst_case_acc_train,worst_case_group_train,worst_case_acc_val,worst_case_group_val,worst_case_gap
celebA,1e+00,0e+00,0.9591838121414183,1,0.9157894849777222,1,-0.04339432716369618
celebA,1e+00,1e-08,0.9534884691238404,2,0.9203979969024658,2,-0.03309047222137462
celebA,1e+00,1e-06,0.9534884691238404,2,0.9157894253730774,1,-0.03769904375076305
celebA,1e+00,1e-04,0.938775599002838,1,0.9104476571083068,2,-0.02832794189453125
celebA,1e+00,1e-02,0.9591838121414183,1,0.9105262756347656,1,-0.04865753650665272
celebA,1e+00,1e+00,0.8571429252624512,1,0.9157894849777222,1,0.058646559715270996
celebA,1e-02,0e+00,0.9183673858642578,1,0.8947368264198303,1,-0.02363055944442749
celebA,1e-02,1e-08,0.9591838121414183,1,0.9210526943206788,1,-0.038131117820739524
celebA,1e-02,1e-06,0.9183673858642578,1,0.9203979969024658,2,0.002030611038208008
celebA,1e-02,1e-04,0.9183673858642578,1,0.9315789937973022,1,0.013211607933044434
celebA,1e-02,1e-02,0.9591838121414183,1,0.9263157248497008,1,-0.03286808729171753
celebA,1e-02,1e+00,0.8367347121238708,1,0.9000001549720764,1,0.06326544284820557
celebA,1e-04,0e+00,0.9183673858642578,1,0.9054725766181946,2,-0.012894809246063232
celebA,1e-04,1e-08,0.9387754797935486,1,0.925373077392578,2,-0.01340240240097057
celebA,1e-04,1e-06,0.938775599002838,1,0.9105262756347656,1,-0.0282493233680724
celebA,1e-04,1e-04,0.9591838121414183,1,0.9104477167129515,2,-0.0487360954284668
celebA,1e-04,1e-02,0.9534884691238404,2,0.9263157248497008,1,-0.027172744274139626
celebA,1e-04,1e+00,0.8775510787963867,1,0.9105263352394104,1,0.03297525644302368
celebA,1e-06,0e+00,0.9387754797935486,1,0.9210526943206788,1,-0.017722785472869762
celebA,1e-06,1e-08,0.9183673858642578,1,0.921052634716034,1,0.002685248851776234
celebA,1e-06,1e-06,0.9183673858642578,1,0.920397937297821,2,0.0020305514335632324
celebA,1e-06,1e-04,0.9183673858642578,1,0.9210527539253236,1,0.002685368061065785
celebA,1e-06,1e-02,0.9591838121414183,1,0.9052630662918092,1,-0.05392074584960915
celebA,1e-06,1e+00,0.8367347121238708,1,0.9157894849777222,1,0.07905477285385132
celebA,1e-08,0e+00,0.9183673858642578,1,0.9054725766181946,2,-0.012894809246063232
celebA,1e-08,1e-08,0.9183673858642578,1,0.9104478359222412,2,-0.007919549942016602
celebA,1e-08,1e-06,0.9183673858642578,1,0.9105263948440552,1,-0.007840991020202637
celebA,1e-08,1e-04,0.938775599002838,1,0.9157894849777222,1,-0.022986114025115856
celebA,1e-08,1e-02,0.9534884691238404,2,0.9157894849777222,1,-0.037698984146118275
celebA,1e-08,1e+00,0.8571429252624512,1,0.905263125896454,1,0.0481202006340028
celebA,0e+00,0e+00,0.9387754797935486,1,0.9154229164123536,2,-0.023352563381194957
celebA,0e+00,1e-08,0.9183673858642578,1,0.9105262756347656,1,-0.007841110229492188
celebA,0e+00,1e-06,0.9183673858642578,1,0.9157896041870116,1,-0.0025777816772462048
celebA,0e+00,1e-04,0.9387754797935486,1,0.9105263352394104,1,-0.028249144554138184
celebA,0e+00,1e-02,0.9387754797935486,1,0.9157894253730774,1,-0.02298605442047119
celebA,0e+00,1e+00,0.8775510787963867,1,0.9315791130065918,1,0.05402803421020508
